ticker,chi_name
930755.CSI,民企成长USD(CNH)
930756.CSI,环保USD
930757.CSI,环保USD(CNH)
930758.CSI,凤凰50
930759.CSI,雪球100
930760.CSI,雪球智选
930762.CSI,雪球精选
930763.CSI,CS房天下
930766.CSI,CS民参军
930767.CSI,沪深300优选
930768.CSI,沪深300优选(HKD)
930769.CSI,财富100
930770.CSI,财富188
930771.CSI,CS新能源
930776.CSI,CS增持
930777.CSI,CS定增
930778.CSI,CS高端造
930779.CSI,银商领先
930780.CSI,中证兴业中高信用债
930781.CSI,中证影视
930782.CSI,500SNLV
930783.CSI,CS英大EI
930784.CSI,HK红利EW
930785.CSI,HK红利EW(CNY)
930786.CSI,短融AAA
930787.CSI,短融AA+
930788.CSI,短融AA
930789.CSI,CSMA预期
930790.CSI,CS娱乐TI
930791.CSI,CS医药TI
930792.CSI,HK银行(HKD)
930793.CSI,HK银行(CNY)
930820.CSI,CS高端制
930821.CSI,中证VR
930822.CSI,CS院校企
930835.CSI,环保专利
930836.CSI,沪港深高股息(CNY)
930837.CSI,沪港深高股息(HKD)
930838.CSI,CS高股息
930839.CSI,HK高股息(HKD)
930840.CSI,HK高股息(CNY)
930845.CSI,CS供给侧
930846.CSI,300SNLV
930847.CSI,800SNLV
930848.CSI,1000SNLV
930850.CSI,智能制造
930851.CSI,云计算
930852.CSI,量子通信
930853.CSI,海绵城市
930854.CSI,水环境
930855.CSI,CS质量
930856.CSI,HK质量(HKD)
930857.CSI,HK质量(CNY)
930858.CSI,沪港深质量(CNY)
930859.CSI,沪港深质量(HKD)
930860.CSI,盈利质量
930861.CSI,香港EQ(HKD)
930862.CSI,香港EQ(CNY)
930863.CSI,沪港深EQ(CNY)
930864.CSI,沪港深EQ(HKD)
930875.CSI,空天一体
930876.CSI,香港彩娱(HKD)
930877.CSI,香港彩娱(CNY)
930882.CSI,CS珠三角
930883.CSI,创新驱动
930884.CSI,300创新
930885.CSI,500创新
930901.SH,动漫游戏
930902.CSI,中证数据
930903.CSI,中证A股
930904.CSI,中证PPP
930905.CSI,CS贵金属
930907.CSI,香港海外高股息(HKD)
930908.CSI,香港海外高股息(CNY)
930910.CSI,农牧渔
930911.CSI,化学原料
930912.CSI,GTJA Intl中国影视(CNY)
930913.CSI,GTJA Intl中国影视(HKD)
930914.CSI,港股通高股息(HKD)
930915.CSI,港股通高股息(CNY)
930917.CSI,SHS高股息(CNY)
930918.CSI,SHS高股息(HKD)
930923.CSI,港中国中小(HKD)
930924.CSI,港中国中小(CNY)
930925.CSI,沪港深保险(CNY)
930926.CSI,沪港深保险(HKD)
930927.CSI,CR基石
930928.CSI,CR新动能
930930.CSI,港股综合(HKD)
930931.CSI,港股通50(HKD)
930932.CSI,HKCN证券(HKD)
930933.CSI,港股综合(CNY)
930934.CSI,港股通50(CNY)
930935.CSI,HKCN证券(CNY)
930936.CSI,国开成长
930937.CSI,稳健成长
930938.CSI,500盈利成长
930939.CSI,500质量
930945.CSI,香港新股(HKD)
930946.CSI,香港新股(CNY)
930948.CSI,300 EWMR
930949.CSI,价值回报
930955.CSI,红利低波100
930956.CSI,绿色投资
930957.CSI,HKC中国100(HKD)
930958.CSI,HKC中国100(CNY)
930959.CSI,HKC海外50(HKD)
930960.CSI,HKC能源C(HKD)
930961.CSI,HKC材料C(HKD)
930962.CSI,HKC工业C(HKD)
930963.CSI,HKC可选C(HKD)
930964.CSI,HKC消费C(HKD)
930965.CSI,HKC医药C(HKD)
930966.CSI,HKC金融C(HKD)
930967.CSI,HKC信息C(HKD)
930968.CSI,HKC电信C(HKD)
930969.CSI,HKC公用C(HKD)
930970.CSI,HKC能源C(CNY)
930971.CSI,HKC材料C(CNY)
930972.CSI,HKC工业C(CNY)
930973.CSI,HKC可选C(CNY)
930974.CSI,HKC消费C(CNY)
930975.CSI,HKC医药C(CNY)
930976.CSI,HKC金融C(CNY)
930977.CSI,HKC信息C(CNY)
930978.CSI,HKC电信C(CNY)
930979.CSI,HKC公用C(CNY)
930980.CSI,HKC海外50(CNY)
930981.CSI,东北指数
930982.CSI,扶贫发展
930983.CSI,MG200
930984.CSI,MG新经济
930985.CSI,500LBLV
930986.CSI,金融科技
930987.CSI,安徽发展
930990.CSI,港股通红利低波(HKD)
930991.CSI,港股通红利低波(CNY)
930992.CSI,沪港深红利低波(CNY)
930993.CSI,沪港深红利低波(HKD)
930997.CSI,新能源车
930998.CSI,HKC大湾区(HKD)
930999.CSI,SHS大湾区(CNY)
931000.CSI,大湾区
931001.CSI,HKC大湾区(CNY)
931002.CSI,SHS大湾区(HKD)
931003.CSI,农业改革
931004.CSI,女性消费
931005.CSI,母婴消费
931006.CSI,老年消费
931007.CSI,新生消费
931008.CSI,中证全指汽车指数
931009.CSI,中证全指建筑材料
931011.CSI,医药创新
931012.CSI,CS黄金
931013.CSI,消费低波
931014.CSI,成长低波
931015.CSI,周期低波
931020.CSI,装配建筑
931021.CSI,家居家电
931022.CSI,大气治理
931023.CSI,北京50
931024.CSI,HKC非银(HKD)
931025.CSI,HKC地产(HKD)
931026.CSI,HKC TMT(HKD)
931027.CSI,HKC大消费(HKD)
931028.CSI,HKC非银(CNY)
931029.CSI,HKC地产(CNY)
931030.CSI,HKC TMT(CNY)
931031.CSI,HKC大消费(CNY)
931032.CSI,复兴100
931033.CSI,杭州湾区
931037.CSI,绿色领先
931038.CSI,中证100AH
931039.CSI,银行AH
931040.CSI,证券AH
931041.CSI,证保AH
931042.CSI,能源AH
931043.CSI,央企AH
931044.CSI,国企AH
931045.CSI,中证100AH(HKD)
931046.CSI,银行AH(HKD)
931047.CSI,证券AH(HKD)
